french,german,Category,Number_char,Frequency,Similarity_score
accepter,akzeptieren,liste_verbes_allemand,11,2.4e-05,0.36842109999999995
acheter,kaufen,liste_verbes_allemand,6,0.000138,0.69230768
aider,helfen,liste_verbes_allemand,6,0.000151,0.81818181
aimer (d’amour),lieben,liste_verbes_allemand,6,7.41e-05,0.8095238
"ajouter (un mot, une précision)",hinzufügen,liste_verbes_allemand,10,7.94e-06,0.90243903
aller,gehen,liste_verbes_allemand,5,0.000447,0.8
allumer,anzünden,liste_verbes_allemand,8,4.27e-06,0.7333333200000001
appeler quelqu’un (au téléphone),anrufen,liste_verbes_allemand,7,1.95e-05,0.79487179
apporter,mitbringen,liste_verbes_allemand,10,1.1e-05,0.77777778
apprendre,lernen,liste_verbes_allemand,6,0.000138,0.6
arrêter,stoppen,liste_verbes_allemand,7,2e-05,0.7142857
arriver,ankommen,liste_verbes_allemand,8,1.23e-05,0.7333333200000001
attendre (quelqu’un),warten,liste_verbes_allemand,6,0.000102,0.69230768
avoir,haben,liste_verbes_allemand,5,0.00282,0.8
avoir besoin,brauchen,liste_verbes_allemand,8,0.000145,0.7
casser,brechen,liste_verbes_allemand,7,2.04e-05,0.8461538399999999
changer,ändern,liste_verbes_allemand,6,8.51e-05,0.53846154
chanter,singen,liste_verbes_allemand,6,3.63e-05,0.69230768
chercher,suchen,liste_verbes_allemand,6,0.000151,0.57142857
choisir,aussuchen,liste_verbes_allemand,9,9.33e-06,0.75
commencer,beginnen / anfangen,liste_verbes_allemand,19,2.36e-05,0.78571428
"comprendre (saisir, se rendre compte de)",verstehen,liste_verbes_allemand,9,0.000148,0.75510204
compter (dénombrer),zählen,liste_verbes_allemand,6,4.27e-05,0.84
conduire,fahren,liste_verbes_allemand,6,0.000158,0.7142857
connaître,kennen,liste_verbes_allemand,6,0.000117,0.6
continuer,fortsetzen,liste_verbes_allemand,10,6.92e-06,0.78947368
"couper (matériau, cheveu)",schneiden,liste_verbes_allemand,9,2e-05,0.76470588
courir (aller rapidement),rennen,liste_verbes_allemand,6,6.03e-05,0.80645162
coûter,kosten,liste_verbes_allemand,6,0.000151,0.5
croire,glauben,liste_verbes_allemand,7,0.000132,0.8461538399999999
décider,entscheiden,liste_verbes_allemand,11,8.13e-05,0.55555555
demander,fordern,liste_verbes_allemand,7,3.63e-05,0.6
descendre (d’un moyen de transport ou des escaliers),hinuntergehen,liste_verbes_allemand,13,1.15e-07,0.81538461
devenir,werden,liste_verbes_allemand,6,0.00309,0.53846154
devoir,müssen / sollen,liste_verbes_allemand,15,0.000211,0.8095238
dire,sagen,liste_verbes_allemand,5,0.000479,0.77777778
donner,geben,liste_verbes_allemand,5,0.000398,0.81818181
dormir,schlafen,liste_verbes_allemand,8,6.61e-05,1.0
écouter,zuhören,liste_verbes_allemand,7,1.05e-05,0.7142857
écrire,schreiben,liste_verbes_allemand,9,0.000178,0.6
empêcher,verhindern,liste_verbes_allemand,10,5.75e-05,0.77777778
entendre,hören,liste_verbes_allemand,5,0.000123,0.69230768
entrer,eintreten,liste_verbes_allemand,9,9.33e-06,0.33333330000000005
envoyer,schicken,liste_verbes_allemand,8,5.01e-05,0.7333333200000001
essayer,ausprobieren,liste_verbes_allemand,12,1.45e-05,0.68421054
éteindre,ausschalten,liste_verbes_allemand,11,5.89e-06,0.68421054
être,sein,liste_verbes_allemand,4,0.00209,0.75
exister,existieren,liste_verbes_allemand,10,2.24e-05,0.17647060000000003
expliquer,erklären,liste_verbes_allemand,8,9.33e-05,0.76470588
faire,machen,liste_verbes_allemand,6,0.000955,0.63636363
faire la cuisine,kochen,liste_verbes_allemand,6,3.31e-05,0.81818181
"fermer (porte, fenêtre, etc.)",schließen,liste_verbes_allemand,9,5.37e-05,0.84210527
"finir, terminer",beenden,liste_verbes_allemand,7,2.4e-05,0.81818181
gagner,gewinnen,liste_verbes_allemand,8,0.0001,0.57142857
garder (conserver),behalten,liste_verbes_allemand,8,4.17e-05,0.8461538399999999
jeter,werfen,liste_verbes_allemand,6,4.07e-05,0.63636363
jouer,spielen,liste_verbes_allemand,7,0.000263,0.83333333
laisser,lassen,liste_verbes_allemand,6,0.000575,0.2307692
"laver, nettoyer","waschen, reinigen",liste_verbes_allemand,17,4.74e-06,0.6875
lire,lesen,liste_verbes_allemand,5,0.00017,0.55555555
manger,essen,liste_verbes_allemand,5,0.000214,0.81818181
marcher,"gehen, laufen",liste_verbes_allemand,13,8.97e-05,0.8
mettre,legen,liste_verbes_allemand,5,6.76e-05,0.63636363
montrer,zeigen,liste_verbes_allemand,6,0.000195,0.8461538399999999
oublier,vergessen,liste_verbes_allemand,9,0.000141,0.75
ouvrir,öffnen,liste_verbes_allemand,6,4.27e-05,1.0
parler,sprechen,liste_verbes_allemand,8,0.000135,0.57142857
partir,weggehen,liste_verbes_allemand,8,2.69e-06,1.0
payer,bezahlen,liste_verbes_allemand,8,5.75e-05,0.8461538399999999
penser,denken,liste_verbes_allemand,6,0.00017,0.5
perdre,verlieren,liste_verbes_allemand,9,6.31e-05,0.46666664
permettre,ermöglichen,liste_verbes_allemand,11,2.88e-05,0.6
pleurer (verser des larmes),weinen,liste_verbes_allemand,6,2.09e-05,0.878787875
porter,tragen,liste_verbes_allemand,6,0.00011,0.66666666
poser (mettre sur),aufsetzen,liste_verbes_allemand,9,4.17e-06,0.7037036999999999
pouvoir,können,liste_verbes_allemand,6,0.00132,1.0
prendre,nehmen,liste_verbes_allemand,6,0.000282,0.69230768
préparer,vorbereiten,liste_verbes_allemand,11,1.35e-05,0.68421054
rappeler,zurückrufen,liste_verbes_allemand,11,6.61e-07,0.78947368
recevoir,empfangen,liste_verbes_allemand,9,2.04e-05,0.76470588
reconnaître,erkennen,liste_verbes_allemand,8,8.13e-05,0.5789473700000001
refuser,ablehnen,liste_verbes_allemand,8,8.71e-06,0.7333333200000001
"regarder, voir","schauen, sehen",liste_verbes_allemand,14,7.69e-05,0.7142857
rencontrer,treffen,liste_verbes_allemand,7,0.000178,0.6470587999999999
rendre,zurückgeben,liste_verbes_allemand,11,5.25e-06,0.6470587999999999
rentrer (à la maison),heimkehren,liste_verbes_allemand,10,5.01e-07,0.80645162
répéter,wiederholen,liste_verbes_allemand,11,1.78e-05,0.77777778
répondre,antworten,liste_verbes_allemand,9,6.46e-05,0.6470587999999999
ressembler,ähneln,liste_verbes_allemand,6,3.55e-06,0.75
rester,bleiben,liste_verbes_allemand,7,0.000234,0.69230768
retourner,umdrehen,liste_verbes_allemand,8,4.17e-06,0.6470587999999999
retrouver,wiederfinden,liste_verbes_allemand,12,3.24e-06,0.7142857
réussir,gelingen,liste_verbes_allemand,8,1.26e-05,0.86666666
"revenir (rentrer, retourner)",zurückkommen,liste_verbes_allemand,12,4.27e-06,0.85
rire,lachen,liste_verbes_allemand,6,5.75e-05,0.8
s’asseoir,sich setzen,liste_verbes_allemand,11,0.000123,0.7
s’endormir,einschlafen,liste_verbes_allemand,11,5.89e-06,0.7142857
savoir,wissen,liste_verbes_allemand,6,0.000355,0.83333333
se laver (se nettoyer),sich waschen,liste_verbes_allemand,12,1.58e-05,0.6470587999999999
se reposer (un moment),sich ausruhen,liste_verbes_allemand,13,4.26e-06,0.7142857
se réveiller,aufwachen,liste_verbes_allemand,9,8.32e-06,0.9047619
"se souvenir de quelqu’un, de quelque chose","sich an jn/etw erinnern, sich js/einer Sache entsinnen",liste_verbes_allemand,54,1.5e-07,0.75
sortir (quitter un lieu),hinausgehen,liste_verbes_allemand,11,2.51e-06,0.8285714200000001
suivre (qqun ou qque chose),jm/einer Sache folgen,liste_verbes_allemand,21,6.7e-07,0.70833334
tenir,halten,liste_verbes_allemand,6,0.000219,0.45454543999999997
tirer,ziehen,liste_verbes_allemand,6,0.000112,0.63636363
tomber,herabfallen,liste_verbes_allemand,11,1.41e-07,0.76470588
toucher (avec les mains),anfassen,liste_verbes_allemand,8,6.46e-06,0.8125
tourner (en marchant ou en conduisant),abbiegen,liste_verbes_allemand,8,4.07e-06,0.86956522
travailler,arbeiten,liste_verbes_allemand,8,0.000251,0.77777778
trouver,finden,liste_verbes_allemand,6,0.000398,0.8461538399999999
utiliser,benutzen,liste_verbes_allemand,8,4.68e-05,0.625
vendre,verkaufen,liste_verbes_allemand,9,6.92e-05,0.46666664
venir,kommen,liste_verbes_allemand,6,0.000513,0.63636363
vivre,leben,liste_verbes_allemand,5,0.000724,0.8
voir,sehen,liste_verbes_allemand,5,0.00049,1.0
voler (dans le ciel),fliegen,liste_verbes_allemand,7,4.57e-05,0.77777778
voler (dérober),stehlen,liste_verbes_allemand,7,6.76e-06,0.81818181
vouloir,wollen,liste_verbes_allemand,6,0.000513,0.69230768
accompagner,begleiten,liste_verbes_allemand_action_mouvements,9,1.95e-05,0.9
accélérer,beschleunigen,liste_verbes_allemand_action_mouvements,13,6.17e-06,0.90909091
aller,gehen,liste_verbes_allemand_action_mouvements,5,0.000447,0.8
amener (quelque chose),mitbringen,liste_verbes_allemand_action_mouvements,10,1.1e-05,0.8125
applaudir,applaudieren,liste_verbes_allemand_action_mouvements,12,1.07e-06,0.14285713
arrêter,stoppen,liste_verbes_allemand_action_mouvements,7,2e-05,0.7142857
arriver,ankommen,liste_verbes_allemand_action_mouvements,8,1.23e-05,0.7333333200000001
atteindre / rejoindre,erreichen/sich anschließen,liste_verbes_allemand_action_mouvements,26,1.05e-05,0.78723404
attraper,fangen,liste_verbes_allemand_action_mouvements,6,1.82e-05,0.7142857
augmenter,zunehmen,liste_verbes_allemand_action_mouvements,8,4.57e-06,0.52941176
avaler,Schlucken,liste_verbes_allemand_action_mouvements,9,6.76e-06,0.7333333200000001
avancer,vorankommen,liste_verbes_allemand_action_mouvements,11,9.77e-07,0.55555555
bailler,gähnen,liste_verbes_allemand_action_mouvements,6,8.91e-07,0.8461538399999999
boire,trinken,liste_verbes_allemand_action_mouvements,7,5.75e-05,0.66666666
bondir / sauter,springen,liste_verbes_allemand_action_mouvements,8,1.82e-05,0.82608695
bouger / se déplacer,bewegen,liste_verbes_allemand_action_mouvements,7,4.27e-05,0.77777778
casser / briser,brechen,liste_verbes_allemand_action_mouvements,7,2.04e-05,0.72727272
chanter,singen,liste_verbes_allemand_action_mouvements,6,3.63e-05,0.69230768
chercher / rechercher,suchen/suchen,liste_verbes_allemand_action_mouvements,13,7.57e-05,0.6470587999999999
choisir,aussuchen,liste_verbes_allemand_action_mouvements,9,9.33e-06,0.75
chuchoter,flüstern,liste_verbes_allemand_action_mouvements,8,1.95e-06,0.6470587999999999
cligner des yeux,blinzeln,liste_verbes_allemand_action_mouvements,8,5.89e-07,0.66666666
compter,sich verlassen,liste_verbes_allemand_action_mouvements,14,8.79e-05,0.7142857
conduire,führen,liste_verbes_allemand_action_mouvements,6,0.000138,0.7142857
construire,bauen,liste_verbes_allemand_action_mouvements,5,6.46e-05,0.7333333200000001
courir,rennen,liste_verbes_allemand_action_mouvements,6,6.03e-05,0.83333333
crier,schreien,liste_verbes_allemand_action_mouvements,8,1.58e-05,0.38461535999999996
cuisiner,kochen,liste_verbes_allemand_action_mouvements,6,3.31e-05,0.7142857
danser,tanzen,liste_verbes_allemand_action_mouvements,6,2.51e-05,0.5
déplacer (quelque chose),bewegen (etwas),liste_verbes_allemand_action_mouvements,15,4.07e-05,0.69230768
descendre,absteigen,liste_verbes_allemand_action_mouvements,9,2.75e-06,0.66666666
donner,geben,liste_verbes_allemand_action_mouvements,5,0.000398,0.81818181
donner un coup de pied,treten,liste_verbes_allemand_action_mouvements,6,5.01e-05,0.78571428
dormir,schlafen,liste_verbes_allemand_action_mouvements,8,6.61e-05,1.0
écarter,spreizen,liste_verbes_allemand_action_mouvements,8,3.72e-07,0.7333333200000001
échapper,entkommen,liste_verbes_allemand_action_mouvements,9,8.71e-06,0.88235294
écouter,"zuhören, hören",liste_verbes_allemand_action_mouvements,14,9.65e-06,0.8095238
écrire,schreiben,liste_verbes_allemand_action_mouvements,9,0.000178,0.6
embrasser,küssen,liste_verbes_allemand_action_mouvements,6,1.12e-05,0.6
embrasser / faire un câlin / prendre dans ses bras,umarmen,liste_verbes_allemand_action_mouvements,7,3.89e-06,0.85964912
emmener / prendre / emporter,mitnehmen,liste_verbes_allemand_action_mouvements,9,2.09e-05,0.78378378
emporter,mitnehmen,liste_verbes_allemand_action_mouvements,9,2.09e-05,0.6470587999999999
enseigner,lehren,liste_verbes_allemand_action_mouvements,6,1.15e-05,0.7333333200000001
entrer,eintreten,liste_verbes_allemand_action_mouvements,9,9.33e-06,0.33333330000000005
escalader / grimper,klettern/klettern,liste_verbes_allemand_action_mouvements,17,3.71e-06,0.66666666
esquiver,ausweichen,liste_verbes_allemand_action_mouvements,10,5.89e-06,0.77777778
faire un clin d’oeil,zwinkern,liste_verbes_allemand_action_mouvements,8,2.69e-07,0.78571428
fermer,zusperren,liste_verbes_allemand_action_mouvements,9,3.31e-07,0.6
flotter (sur l’eau),schwimmen,liste_verbes_allemand_action_mouvements,9,2.4e-05,0.85714285
franchir (quelque chose),"Überschreiten, überqueren",liste_verbes_allemand_action_mouvements,25,2.93e-06,0.63265306
frapper,schlagen,liste_verbes_allemand_action_mouvements,8,4.47e-05,0.7333333200000001
glisser,gleiten,liste_verbes_allemand_action_mouvements,7,2.57e-06,0.57142857
grimper,erklimmen,liste_verbes_allemand_action_mouvements,9,1.17e-06,0.75
grossir,vergrößern,liste_verbes_allemand_action_mouvements,10,6.46e-06,0.6470587999999999
hausser les épaules,zucken,liste_verbes_allemand_action_mouvements,6,2.69e-06,0.84
hurler / crier,schreien,liste_verbes_allemand_action_mouvements,8,1.58e-05,0.63636363
jeter,werfen,liste_verbes_allemand_action_mouvements,6,4.07e-05,0.63636363
lancer,werfen,liste_verbes_allemand_action_mouvements,6,4.07e-05,0.66666666
lécher,lecken,liste_verbes_allemand_action_mouvements,6,7.59e-06,0.66666666
lire,lesen,liste_verbes_allemand_action_mouvements,5,0.00017,0.55555555
mâcher,kauen,liste_verbes_allemand_action_mouvements,5,2.24e-06,0.81818181
manger,essen,liste_verbes_allemand_action_mouvements,5,0.000214,0.81818181
marcher,marschieren,liste_verbes_allemand_action_mouvements,11,4.68e-06,0.22222220000000004
mordre,beißen,liste_verbes_allemand_action_mouvements,6,5.37e-06,0.83333333
nager,schwimmen,liste_verbes_allemand_action_mouvements,9,2.4e-05,0.85714285
ouvrir,öffnen,liste_verbes_allemand_action_mouvements,6,4.27e-05,1.0
parler,sprechen,liste_verbes_allemand_action_mouvements,8,0.000135,0.57142857
partir,abreisen,liste_verbes_allemand_action_mouvements,8,1e-06,0.57142857
passer,verbringen,liste_verbes_allemand_action_mouvements,10,2.63e-05,0.75
penser,denken,liste_verbes_allemand_action_mouvements,6,0.00017,0.5
perdre du poids,abnehmen,liste_verbes_allemand_action_mouvements,8,1.58e-05,0.82608695
pleurer,betrauern,liste_verbes_allemand_action_mouvements,9,2.82e-07,0.5
plier,falten,liste_verbes_allemand_action_mouvements,6,5.89e-06,0.63636363
plonger,eintauchen,liste_verbes_allemand_action_mouvements,10,2.19e-06,0.88235294
porter,tragen,liste_verbes_allemand_action_mouvements,6,0.00011,0.66666666
poursuivre,fortsetzen,liste_verbes_allemand_action_mouvements,10,6.92e-06,0.6
pousser,drängen,liste_verbes_allemand_action_mouvements,7,8.91e-06,0.85714285
prendre,nehmen,liste_verbes_allemand_action_mouvements,6,0.000282,0.69230768
quitter,verlassen,liste_verbes_allemand_action_mouvements,9,8.91e-05,0.75
ramasser,einsammeln,liste_verbes_allemand_action_mouvements,10,2.14e-06,0.66666666
ramener / rapporter,zurückbringen,liste_verbes_allemand_action_mouvements,13,1.35e-06,0.8125
ramper,kriechen,liste_verbes_allemand_action_mouvements,8,2.82e-06,0.7142857
reculer,zurückweichen,liste_verbes_allemand_action_mouvements,13,4.07e-07,0.8
regarder,zuschauen,liste_verbes_allemand_action_mouvements,9,6.17e-06,0.76470588
renifler,schnüffeln,liste_verbes_allemand_action_mouvements,10,7.76e-07,0.66666666
réparer,reparieren,liste_verbes_allemand_action_mouvements,10,7.41e-06,0.2941176
répéter,wiederholen,liste_verbes_allemand_action_mouvements,11,1.78e-05,0.77777778
respirer,atmen,liste_verbes_allemand_action_mouvements,5,1.07e-05,0.8461538399999999
rêver,träumen,liste_verbes_allemand_action_mouvements,7,1.86e-05,0.66666666
rire,lachen,liste_verbes_allemand_action_mouvements,6,5.75e-05,0.8
rouler,rollen,liste_verbes_allemand_action_mouvements,6,3.16e-05,0.33333330000000005
s’accroupir,"sich ducken, Hocken",liste_verbes_allemand_action_mouvements,19,3.59e-07,0.86666666
s’allonger,sich hinlegen,liste_verbes_allemand_action_mouvements,13,3.23e-06,0.6521739
s’approcher,sich nähern,liste_verbes_allemand_action_mouvements,11,6.45e-06,0.54545453
s’asseoir,sich hinsetzen,liste_verbes_allemand_action_mouvements,14,2.69e-06,0.73913044
s’éloigner,sich entfernen,liste_verbes_allemand_action_mouvements,14,2.28e-05,0.58333334
s’étendre / s’étaler,sich ausbreiten,liste_verbes_allemand_action_mouvements,15,3.09e-06,0.77142857
s’évader,ausbrechen,liste_verbes_allemand_action_mouvements,10,2.69e-06,0.77777778
sauter,springen,liste_verbes_allemand_action_mouvements,8,1.82e-05,0.7142857
se coucher,sich hinlegen,liste_verbes_allemand_action_mouvements,13,3.23e-06,0.6521739
se doucher / prendre une douche,duschen,liste_verbes_allemand_action_mouvements,7,1.1e-05,0.68421054
se garer,parken,liste_verbes_allemand_action_mouvements,6,9.33e-06,0.57142857
se lever,aufstehen,liste_verbes_allemand_action_mouvements,9,1.7e-05,0.6470587999999999
se mettre à genoux / s’agenouiller,knien,liste_verbes_allemand_action_mouvements,5,4.37e-06,0.897435896
se retourner,sich umdrehen,liste_verbes_allemand_action_mouvements,13,4.17e-06,0.6
secouer,schütteln,liste_verbes_allemand_action_mouvements,9,6.46e-06,0.625
sentir,riechen,liste_verbes_allemand_action_mouvements,7,7.24e-06,0.69230768
siffler,pfeifen,liste_verbes_allemand_action_mouvements,7,5.62e-06,0.57142857
sortir,herauskommen,liste_verbes_allemand_action_mouvements,12,2.57e-06,0.88888889
souffler,blasen,liste_verbes_allemand_action_mouvements,6,1.26e-05,0.7142857
soulever,heben,liste_verbes_allemand_action_mouvements,5,1.32e-05,0.69230768
suer / transpirer,schwitzen,liste_verbes_allemand_action_mouvements,9,5.89e-06,0.7692307700000001
suivre (quelqu’un),folgen,liste_verbes_allemand_action_mouvements,6,0.000151,0.83333333
tirer,ziehen,liste_verbes_allemand_action_mouvements,6,0.000112,0.63636363
tomber,herabfallen,liste_verbes_allemand_action_mouvements,11,1.41e-07,0.76470588
toucher,berühren,liste_verbes_allemand_action_mouvements,8,1.1e-05,0.7333333200000001
tourner,drehen,liste_verbes_allemand_action_mouvements,6,3.39e-05,0.69230768
traîner,schleppen,liste_verbes_allemand_action_mouvements,9,3.89e-06,0.875
travailler,arbeiten,liste_verbes_allemand_action_mouvements,8,0.000251,0.77777778
venir,kommen,liste_verbes_allemand_action_mouvements,6,0.000513,0.63636363
verser (de l’eau),gießen,liste_verbes_allemand_action_mouvements,6,1.45e-05,0.82608695
visiter,besuchen,liste_verbes_allemand_action_mouvements,8,4.68e-05,0.86666666
voir,sehen,liste_verbes_allemand_action_mouvements,5,0.00049,1.0
voler (dans le ciel),fliegen,liste_verbes_allemand_action_mouvements,7,4.57e-05,0.77777778
voler (quelque chose),stehlen,liste_verbes_allemand_action_mouvements,7,6.76e-06,0.85714285
accueillant,gastfreundlich,liste_vocabulaire_allemand_adjectifs_essentiels,14,6.03e-07,0.84
admirable,bewundernswert,liste_vocabulaire_allemand_adjectifs_essentiels,14,1.45e-06,0.82608695
agacé,gereizt,liste_vocabulaire_allemand_adjectifs_essentiels,7,3.09e-06,0.83333333
âgé,alt,liste_vocabulaire_allemand_adjectifs_essentiels,3,0.000145,1.0
agréable,angenehm,liste_vocabulaire_allemand_adjectifs_essentiels,8,1.91e-05,0.625
aimable,freundlich,liste_vocabulaire_allemand_adjectifs_essentiels,10,2.75e-05,0.88235294
amer,bitter,liste_vocabulaire_allemand_adjectifs_essentiels,6,1.15e-05,0.6
amical,freundlich,liste_vocabulaire_allemand_adjectifs_essentiels,10,2.75e-05,0.75
amusant,lustig,liste_vocabulaire_allemand_adjectifs_essentiels,6,6.92e-05,0.53846154
ancien,antik,liste_vocabulaire_allemand_adjectifs_essentiels,5,1.17e-06,0.45454543999999997
approximatif,annähernd,liste_vocabulaire_allemand_adjectifs_essentiels,9,1.17e-05,0.8095238
attentif,aufmerksam,liste_vocabulaire_allemand_adjectifs_essentiels,10,3.31e-05,0.77777778
automatique,automatisch,liste_vocabulaire_allemand_adjectifs_essentiels,11,3.8e-05,0.27272725
banal,banal,liste_vocabulaire_allemand_adjectifs_essentiels,5,1.78e-06,0.0
bas,niedrig,liste_vocabulaire_allemand_adjectifs_essentiels,7,1.41e-05,1.0
"beau, bel, belle",schön,liste_vocabulaire_allemand_adjectifs_essentiels,5,0.000331,1.0
beaucoup,viel,liste_vocabulaire_allemand_adjectifs_essentiels,4,0.001,0.83333333
"bête, stupide",dumm,liste_vocabulaire_allemand_adjectifs_essentiels,4,5.75e-05,0.88235294
bien,gut,liste_vocabulaire_allemand_adjectifs_essentiels,3,0.00123,1.0
bizarre,seltsam,liste_vocabulaire_allemand_adjectifs_essentiels,7,2e-05,0.85714285
blessé,verletzt,liste_vocabulaire_allemand_adjectifs_essentiels,8,6.76e-05,0.7142857
bon,gut,liste_vocabulaire_allemand_adjectifs_essentiels,3,0.00123,1.0
bon marché,billig,liste_vocabulaire_allemand_adjectifs_essentiels,6,1.82e-05,0.875
bouché,verstopft,liste_vocabulaire_allemand_adjectifs_essentiels,9,2.19e-06,0.86666666
bronzé,braungebrannt,liste_vocabulaire_allemand_adjectifs_essentiels,13,1.32e-07,0.68421054
brusque,abrupt,liste_vocabulaire_allemand_adjectifs_essentiels,6,2.34e-06,0.53846154
bruyant,laut,liste_vocabulaire_allemand_adjectifs_essentiels,4,0.00017,0.63636363
calme,Ruhig,liste_vocabulaire_allemand_adjectifs_essentiels,5,5.75e-05,1.0
capable,fähig,liste_vocabulaire_allemand_adjectifs_essentiels,5,1.15e-05,1.0
captivant,fesselnd,liste_vocabulaire_allemand_adjectifs_essentiels,8,7.24e-07,0.88235294
